entity_type,layer,text,insert_x,insert_y,start_x,start_y,start_z,end_x,end_y,end_z,center_x,center_y,radius,vertices,vertex_count,closed,start_angle,end_angle
LINE,ELEMENTOS-ELEC,,,,-86.9191,11.6916,0.0,-86.9544,11.6563,0.0,,,,,,,,
LINE,ELEMENTOS-ELEC,,,,-86.7637,11.6916,0.0,-86.7283,11.6563,0.0,,,,,,,,
CIRCLE,ELEMENTOS-ELEC,,,,,,,,,,-86.8414,11.7693,0.1099,,,,,
TEXT,ELEMENTOS-ELEC,S,-85.3661,11.4436,,,,,,,,,,,,,,
LINE,ELEMENTOS-ELEC,,,,-86.9191,9.9916,0.0,-86.9544,9.9563,0.0,,,,,,,,
LINE,ELEMENTOS-ELEC,,,,-86.7637,9.9916,0.0,-86.7283,9.9563,0.0,,,,,,,,
TEXT,TEXTO,1,-86.8766,10.0204,,,,,,,,,,,,,,
LINE,ELEMENTOS-ELEC,,,,-86.9191,10.147,0.0,-86.9544,10.1824,0.0,,,,,,,,
LINE,ELEMENTOS-ELEC,,,,-86.7637,10.147,0.0,-86.7283,10.1824,0.0,,,,,,,,
CIRCLE,ELEMENTOS-ELEC,,,,,,,,,,-86.8414,10.0693,0.1099,,,,,
