entity_type,layer,center_x,center_y,radius,start_angle,end_angle,vertices,vertex_count,closed,start_x,start_y,start_z,end_x,end_y,end_z,text,insert_x,insert_y
LINE,VENTANA,,,,,,,,,7.1145,267.8109,0.0,7.1368,267.8496,0.0,,,
LINE,VENTANA,,,,,,,,,7.0752,267.8028,0.0,7.1241,267.8877,0.0,,,
LINE,VENTANA,,,,,,,,,7.0798,267.8308,0.0,7.1021,267.8696,0.0,,,
LINE,VENTANA,,,,,,,,,7.456,267.7796,0.0,7.5259,267.9009,0.0,,,
LINE,VENTANA,,,,,,,,,7.4752,267.7928,0.0,7.524,267.8777,0.0,,,
LINE,VENTANA,,,,,,,,,7.4971,267.8109,0.0,7.5194,267.8496,0.0,,,
LINE,VENTANA,,,,,,,,,7.4578,267.8028,0.0,7.5067,267.8877,0.0,,,
LINE,VENTANA,,,,,,,,,7.4625,267.8308,0.0,7.4848,267.8696,0.0,,,
HATCH,SOMBREADO,,,,,,,,,,,,,,,,,
LWPOLYLINE,MADERA,,,,,,"[[11.0027, 268.8452], [9.4523, 268.8452], [9.4523, 267.5252], [11.0027, 267.5252]]",4.0,True,,,,,,,,,
LWPOLYLINE,MADERA,,,,,,"[[9.8149, 268.1552], [9.4523, 268.1552], [9.4523, 267.5252], [9.8149, 267.5252]]",4.0,True,,,,,,,,,
LWPOLYLINE,MADERA,,,,,,"[[10.1975, 268.1552], [9.8349, 268.1552], [9.8349, 267.5252], [10.1975, 267.5252]]",4.0,True,,,,,,,,,
LWPOLYLINE,MADERA,,,,,,"[[10.6201, 268.1552], [10.2575, 268.1552], [10.2575, 267.5252], [10.6201, 267.5252]]",4.0,True,,,,,,,,,
LWPOLYLINE,MADERA,,,,,,"[[11.0027, 268.1552], [10.6401, 268.1552], [10.6401, 267.5252], [11.0027, 267.5252]]",4.0,True,,,,,,,,,
LWPOLYLINE,MADERA,,,,,,"[[11.0027, 268.8452], [10.6401, 268.8452], [10.6401, 268.2152], [11.0027, 268.2152]]",4.0,True,,,,,,,,,
LWPOLYLINE,MADERA,,,,,,"[[10.6201, 268.8452], [10.2575, 268.8452], [10.2575, 268.2152], [10.6201, 268.2152]]",4.0,True,,,,,,,,,
LWPOLYLINE,MADERA,,,,,,"[[10.1975, 268.8452], [9.8349, 268.8452], [9.8349, 268.2152], [10.1975, 268.2152]]",4.0,True,,,,,,,,,
LWPOLYLINE,MADERA,,,,,,"[[9.8149, 268.8452], [9.4523, 268.8452], [9.4523, 268.2152], [9.8149, 268.2152]]",4.0,True,,,,,,,,,
LWPOLYLINE,MADERA,,,,,,"[[10.6401, 268.8452], [11.0027, 268.8452], [11.0027, 268.2152]]",3.0,False,,,,,,,,,
LWPOLYLINE,MADERA,,,,,,"[[10.2575, 268.8452], [10.6201, 268.8452], [10.6201, 268.2152]]",3.0,False,,,,,,,,,
LWPOLYLINE,MADERA,,,,,,"[[9.8349, 268.8452], [10.1975, 268.8452], [10.1975, 268.2152]]",3.0,False,,,,,,,,,
LWPOLYLINE,MADERA,,,,,,"[[9.4523, 268.8452], [9.8149, 268.8452], [9.8149, 268.2152]]",3.0,False,,,,,,,,,
LWPOLYLINE,MADERA,,,,,,"[[9.4523, 268.1552], [9.8149, 268.1552], [9.8149, 267.5252]]",3.0,False,,,,,,,,,
LWPOLYLINE,MADERA,,,,,,"[[9.8349, 268.1552], [10.1975, 268.1552], [10.1975, 267.5252]]",3.0,False,,,,,,,,,
LWPOLYLINE,MADERA,,,,,,"[[10.2575, 268.1552], [10.6201, 268.1552], [10.6201, 267.5252]]",3.0,False,,,,,,,,,
LWPOLYLINE,MADERA,,,,,,"[[10.6401, 268.1552], [11.0027, 268.1552], [11.0027, 267.5252]]",3.0,False,,,,,,,,,
LINE,VENTANA,,,,,,,,,9.5986,268.4696,0.0,9.6685,268.5909,0.0,,,
LINE,VENTANA,,,,,,,,,9.6178,268.4828,0.0,9.6667,268.5677,0.0,,,
LINE,VENTANA,,,,,,,,,9.6397,268.5009,0.0,9.662,268.5396,0.0,,,
LINE,VENTANA,,,,,,,,,9.6005,268.4928,0.0,9.6493,268.5777,0.0,,,
LINE,VENTANA,,,,,,,,,9.6051,268.5208,0.0,9.6274,268.5596,0.0,,,
LINE,VENTANA,,,,,,,,,9.9813,268.4696,0.0,10.0511,268.5909,0.0,,,
LINE,VENTANA,,,,,,,,,10.0004,268.4828,0.0,10.0493,268.5677,0.0,,,
LINE,VENTANA,,,,,,,,,10.0224,268.5009,0.0,10.0447,268.5396,0.0,,,
LINE,VENTANA,,,,,,,,,9.9831,268.4928,0.0,10.032,268.5777,0.0,,,
LINE,VENTANA,,,,,,,,,9.9877,268.5208,0.0,10.01,268.5596,0.0,,,
LINE,VENTANA,,,,,,,,,10.4039,268.4696,0.0,10.4737,268.5909,0.0,,,
LINE,VENTANA,,,,,,,,,10.423,268.4828,0.0,10.4719,268.5677,0.0,,,
LINE,VENTANA,,,,,,,,,10.445,268.5009,0.0,10.4673,268.5396,0.0,,,
LINE,VENTANA,,,,,,,,,10.4057,268.4928,0.0,10.4546,268.5777,0.0,,,
LINE,VENTANA,,,,,,,,,10.4103,268.5208,0.0,10.4326,268.5596,0.0,,,
LINE,VENTANA,,,,,,,,,10.7865,268.4696,0.0,10.8563,268.5909,0.0,,,
LINE,VENTANA,,,,,,,,,10.8056,268.4828,0.0,10.8545,268.5677,0.0,,,
LINE,VENTANA,,,,,,,,,10.8276,268.5009,0.0,10.8499,268.5396,0.0,,,
LINE,VENTANA,,,,,,,,,10.7883,268.4928,0.0,10.8372,268.5777,0.0,,,
LINE,VENTANA,,,,,,,,,10.7929,268.5208,0.0,10.8152,268.5596,0.0,,,
LINE,VENTANA,,,,,,,,,9.5986,267.7796,0.0,9.6685,267.9009,0.0,,,
LINE,VENTANA,,,,,,,,,9.6178,267.7928,0.0,9.6667,267.8777,0.0,,,
LINE,VENTANA,,,,,,,,,9.6397,267.8109,0.0,9.662,267.8496,0.0,,,
LINE,VENTANA,,,,,,,,,9.6005,267.8028,0.0,9.6493,267.8877,0.0,,,
LINE,VENTANA,,,,,,,,,9.6051,267.8308,0.0,9.6274,267.8696,0.0,,,
LINE,VENTANA,,,,,,,,,9.9813,267.7796,0.0,10.0511,267.9009,0.0,,,
LINE,VENTANA,,,,,,,,,10.0004,267.7928,0.0,10.0493,267.8777,0.0,,,
LINE,VENTANA,,,,,,,,,10.0224,267.8109,0.0,10.0447,267.8496,0.0,,,
LINE,VENTANA,,,,,,,,,9.9831,267.8028,0.0,10.032,267.8877,0.0,,,
LINE,VENTANA,,,,,,,,,9.9877,267.8308,0.0,10.01,267.8696,0.0,,,
LINE,VENTANA,,,,,,,,,10.4039,267.7796,0.0,10.4737,267.9009,0.0,,,
LINE,VENTANA,,,,,,,,,10.423,267.7928,0.0,10.4719,267.8777,0.0,,,
LINE,VENTANA,,,,,,,,,10.445,267.8109,0.0,10.4673,267.8496,0.0,,,
LINE,VENTANA,,,,,,,,,10.4057,267.8028,0.0,10.4546,267.8877,0.0,,,
LINE,VENTANA,,,,,,,,,10.4103,267.8308,0.0,10.4326,267.8696,0.0,,,
LINE,VENTANA,,,,,,,,,10.7865,267.7796,0.0,10.8563,267.9009,0.0,,,
LINE,VENTANA,,,,,,,,,10.8056,267.7928,0.0,10.8545,267.8777,0.0,,,
LINE,VENTANA,,,,,,,,,10.8276,267.8109,0.0,10.8499,267.8496,0.0,,,
LINE,VENTANA,,,,,,,,,10.7883,267.8028,0.0,10.8372,267.8877,0.0,,,
LINE,VENTANA,,,,,,,,,10.7929,267.8308,0.0,10.8152,267.8696,0.0,,,
INSERT,OTROS,,,,,,,,,,,,,,,,,
INSERT,OTROS,,,,,,,,,,,,,,,,,
HATCH,SOMBREADO,,,,,,,,,,,,,,,,,
HATCH,SOMBREADO,,,,,,,,,,,,,,,,,
LINE,OTROS,,,,,,,,,7.9623,266.7852,0.0,7.9623,266.4852,0.0,,,
LINE,OTROS,,,,,,,,,9.1623,266.7852,0.0,9.1623,266.4852,0.0,,,
LWPOLYLINE,MADERA,,,,,,"[[7.3792, 266.9785], [7.3793, 267.4426], [7.3816, 267.5002], [7.3587, 267.5833], [7.3577, 267.5875], [7.3577, 267.6232], [7.3697, 267.6352], [7.4457, 267.6352], [7.4577, 267.6232], [7.4577, 267.5875], [7.4568, 267.5833], [7.4338, 267.5002], [7.4362, 267.4426], [7.4363, 266.9785], [7.433, 266.9355], [7.4523, 266.8041], [7.4379, 266.7852], [7.3776, 266.7852], [7.3631, 266.8041], [7.3825, 266.9355]]",20.0,True,,,,,,,,,
HATCH,SOMBREADO,,,,,,,,,,,,,,,,,
HATCH,SOMBREADO,,,,,,,,,,,,,,,,,
LWPOLYLINE,MADERA,,,,,,"[[6.9792, 266.9785], [6.9793, 267.4426], [6.9816, 267.5002], [6.9587, 267.5833], [6.9577, 267.5875], [6.9577, 267.6232], [6.9697, 267.6352], [7.0457, 267.6352], [7.0577, 267.6232], [7.0577, 267.5875], [7.0568, 267.5833], [7.0338, 267.5002], [7.0362, 267.4426], [7.0363, 266.9785], [7.033, 266.9355], [7.0523, 266.8041], [7.0379, 266.7852], [6.9776, 266.7852], [6.9631, 266.8041], [6.9825, 266.9355]]",20.0,True,,,,,,,,,
HATCH,SOMBREADO,,,,,,,,,,,,,,,,,
LWPOLYLINE,MADERA,,,,,,"[[6.5792, 266.9785], [6.5793, 267.4426], [6.5816, 267.5002], [6.5587, 267.5833], [6.5577, 267.5875], [6.5577, 267.6232], [6.5697, 267.6352], [6.6457, 267.6352], [6.6577, 267.6232], [6.6577, 267.5875], [6.6568, 267.5833], [6.6338, 267.5002], [6.6362, 267.4426], [6.6363, 266.9785], [6.633, 266.9355], [6.6523, 266.8041], [6.6379, 266.7852], [6.5776, 266.7852], [6.5631, 266.8041], [6.5825, 266.9355]]",20.0,True,,,,,,,,,
HATCH,SOMBREADO,,,,,,,,,,,,,,,,,
LWPOLYLINE,MADERA,,,,,,"[[6.1792, 266.9785], [6.1793, 267.4426], [6.1816, 267.5002], [6.1587, 267.5833], [6.1577, 267.5875], [6.1577, 267.6232], [6.1697, 267.6352], [6.2457, 267.6352], [6.2577, 267.6232], [6.2577, 267.5875], [6.2568, 267.5833], [6.2338, 267.5002], [6.2362, 267.4426], [6.2363, 266.9785], [6.233, 266.9355], [6.2523, 266.8041], [6.2379, 266.7852], [6.1776, 266.7852], [6.1631, 266.8041], [6.1825, 266.9355]]",20.0,True,,,,,,,,,
HATCH,SOMBREADO,,,,,,,,,,,,,,,,,
LWPOLYLINE,MADERA,,,,,,"[[5.7792, 266.9785], [5.7793, 267.4426], [5.7816, 267.5002], [5.7587, 267.5833], [5.7577, 267.5875], [5.7577, 267.6232], [5.7697, 267.6352], [5.8457, 267.6352], [5.8577, 267.6232], [5.8577, 267.5875], [5.8568, 267.5833], [5.8338, 267.5002], [5.8362, 267.4426], [5.8363, 266.9785], [5.833, 266.9355], [5.8523, 266.8041], [5.8379, 266.7852], [5.7776, 266.7852], [5.7631, 266.8041], [5.7825, 266.9355]]",20.0,True,,,,,,,,,
LWPOLYLINE,MADERA,,,,,,"[[5.3447, 267.6852], [7.9503, 267.6852], [7.9623, 267.6732], [7.9623, 267.6472], [7.9503, 267.6352], [5.3447, 267.6352], [5.3327, 267.6472], [5.3327, 267.6732]]",8.0,True,,,,,,,,,
HATCH,0,,,,,,,,,,,,,,,,,
LWPOLYLINE,MADERA,,,,,,"[[7.7577, 269.0852], [7.8577, 269.0852], [7.8577, 266.7852], [7.7577, 266.7852]]",4.0,True,,,,,,,,,
HATCH,0,,,,,,,,,,,,,,,,,
LWPOLYLINE,TEJA ANDINA,,,,,,"[[5.5027, 269.2652], [5.3327, 269.2652], [5.3327, 269.1852], [5.5027, 269.1852]]",4.0,True,,,,,,,,,
LINE,TEJA ANDINA,,,,,,,,,5.5027,269.236,0.0,5.4879,269.2969,0.0,,,
LINE,TEJA ANDINA,,,,,,,,,5.3327,269.236,0.0,5.3476,269.2969,0.0,,,
LWPOLYLINE,TEJA ANDINA,,,,,,"[[5.5027, 269.5152], [5.3327, 269.5152], [5.3327, 269.2652], [5.5027, 269.2652]]",4.0,True,,,,,,,,,
LINE,TEJA ANDINA,,,,,,,,,5.5027,269.3902,0.0,5.4879,269.5469,0.0,,,
LINE,TEJA ANDINA,,,,,,,,,5.3327,269.3902,0.0,5.3476,269.5469,0.0,,,
LWPOLYLINE,TEJA ANDINA,,,,,,"[[5.5027, 269.7652], [5.3327, 269.7652], [5.3327, 269.5152], [5.5027, 269.5152]]",4.0,True,,,,,,,,,
LINE,TEJA ANDINA,,,,,,,,,5.5027,269.6402,0.0,5.4879,269.7969,0.0,,,
LINE,TEJA ANDINA,,,,,,,,,5.3327,269.6402,0.0,5.3476,269.7969,0.0,,,
LWPOLYLINE,TEJA ANDINA,,,,,,"[[5.5027, 270.0152], [5.3327, 270.0152], [5.3327, 269.7652], [5.5027, 269.7652]]",4.0,True,,,,,,,,,
LINE,TEJA ANDINA,,,,,,,,,5.5027,269.8902,0.0,5.4879,270.0469,0.0,,,
LINE,TEJA ANDINA,,,,,,,,,5.3327,269.8902,0.0,5.3476,270.0469,0.0,,,
LWPOLYLINE,TEJA ANDINA,,,,,,"[[5.6827, 269.2652], [5.5027, 269.2652], [5.5027, 269.1852], [5.6827, 269.1852]]",4.0,True,,,,,,,,,
LINE,TEJA ANDINA,,,,,,,,,5.6827,269.236,0.0,5.6679,269.2969,0.0,,,
LINE,TEJA ANDINA,,,,,,,,,5.5027,269.236,0.0,5.5176,269.2969,0.0,,,
LWPOLYLINE,TEJA ANDINA,,,,,,"[[5.6827, 269.5152], [5.5027, 269.5152], [5.5027, 269.2652], [5.6827, 269.2652]]",4.0,True,,,,,,,,,
LINE,TEJA ANDINA,,,,,,,,,5.6827,269.3902,0.0,5.6679,269.5469,0.0,,,
LINE,TEJA ANDINA,,,,,,,,,5.5027,269.3902,0.0,5.5176,269.5469,0.0,,,
LWPOLYLINE,TEJA ANDINA,,,,,,"[[5.6827, 269.7652], [5.5027, 269.7652], [5.5027, 269.5152], [5.6827, 269.5152]]",4.0,True,,,,,,,,,
LINE,TEJA ANDINA,,,,,,,,,5.6827,269.6402,0.0,5.6679,269.7969,0.0,,,
LINE,TEJA ANDINA,,,,,,,,,5.5027,269.6402,0.0,5.5176,269.7969,0.0,,,
LWPOLYLINE,TEJA ANDINA,,,,,,"[[5.6827, 270.0152], [5.5027, 270.0152], [5.5027, 269.7652], [5.6827, 269.7652]]",4.0,True,,,,,,,,,
LINE,TEJA ANDINA,,,,,,,,,5.6827,269.8902,0.0,5.6679,270.0469,0.0,,,
LINE,TEJA ANDINA,,,,,,,,,5.5027,269.8902,0.0,5.5176,270.0469,0.0,,,
LWPOLYLINE,TEJA ANDINA,,,,,,"[[5.8627, 269.2652], [5.6827, 269.2652], [5.6827, 269.1852], [5.8627, 269.1852]]",4.0,True,,,,,,,,,
LINE,TEJA ANDINA,,,,,,,,,5.8627,269.236,0.0,5.8479,269.2969,0.0,,,
LINE,TEJA ANDINA,,,,,,,,,5.6827,269.236,0.0,5.6976,269.2969,0.0,,,
LWPOLYLINE,TEJA ANDINA,,,,,,"[[5.8627, 269.5152], [5.6827, 269.5152], [5.6827, 269.2652], [5.8627, 269.2652]]",4.0,True,,,,,,,,,
LINE,TEJA ANDINA,,,,,,,,,5.8627,269.3902,0.0,5.8479,269.5469,0.0,,,
LINE,TEJA ANDINA,,,,,,,,,5.6827,269.3902,0.0,5.6976,269.5469,0.0,,,
LWPOLYLINE,TEJA ANDINA,,,,,,"[[5.8627, 269.7652], [5.6827, 269.7652], [5.6827, 269.5152], [5.8627, 269.5152]]",4.0,True,,,,,,,,,
LINE,TEJA ANDINA,,,,,,,,,5.8627,269.6402,0.0,5.8479,269.7969,0.0,,,
LINE,TEJA ANDINA,,,,,,,,,5.6827,269.6402,0.0,5.6976,269.7969,0.0,,,
LWPOLYLINE,TEJA ANDINA,,,,,,"[[5.8627, 270.0152], [5.6827, 270.0152], [5.6827, 269.7652], [5.8627, 269.7652]]",4.0,True,,,,,,,,,
LINE,TEJA ANDINA,,,,,,,,,5.8627,269.8902,0.0,5.8479,270.0469,0.0,,,
LINE,TEJA ANDINA,,,,,,,,,5.6827,269.8902,0.0,5.6976,270.0469,0.0,,,
LWPOLYLINE,TEJA ANDINA,,,,,,"[[6.0427, 269.2652], [5.8627, 269.2652], [5.8627, 269.1852], [6.0427, 269.1852]]",4.0,True,,,,,,,,,
LINE,TEJA ANDINA,,,,,,,,,6.0427,269.236,0.0,6.0279,269.2969,0.0,,,
LINE,TEJA ANDINA,,,,,,,,,5.8627,269.236,0.0,5.8776,269.2969,0.0,,,
LWPOLYLINE,TEJA ANDINA,,,,,,"[[6.0427, 269.5152], [5.8627, 269.5152], [5.8627, 269.2652], [6.0427, 269.2652]]",4.0,True,,,,,,,,,
LINE,TEJA ANDINA,,,,,,,,,6.0427,269.3902,0.0,6.0279,269.5469,0.0,,,
LINE,TEJA ANDINA,,,,,,,,,5.8627,269.3902,0.0,5.8776,269.5469,0.0,,,
LWPOLYLINE,TEJA ANDINA,,,,,,"[[6.0427, 269.7652], [5.8627, 269.7652], [5.8627, 269.5152], [6.0427, 269.5152]]",4.0,True,,,,,,,,,
LINE,TEJA ANDINA,,,,,,,,,6.0427,269.6402,0.0,6.0279,269.7969,0.0,,,
LINE,TEJA ANDINA,,,,,,,,,5.8627,269.6402,0.0,5.8776,269.7969,0.0,,,
LWPOLYLINE,TEJA ANDINA,,,,,,"[[6.0427, 270.0152], [5.8627, 270.0152], [5.8627, 269.7652], [6.0427, 269.7652]]",4.0,True,,,,,,,,,
LINE,TEJA ANDINA,,,,,,,,,6.0427,269.8902,0.0,6.0279,270.0469,0.0,,,
LINE,TEJA ANDINA,,,,,,,,,5.8627,269.8902,0.0,5.8776,270.0469,0.0,,,
LWPOLYLINE,TEJA ANDINA,,,,,,"[[6.2227, 269.2652], [6.0427, 269.2652], [6.0427, 269.1852], [6.2227, 269.1852]]",4.0,True,,,,,,,,,
LINE,TEJA ANDINA,,,,,,,,,6.2227,269.236,0.0,6.2079,269.2969,0.0,,,
LINE,TEJA ANDINA,,,,,,,,,6.0427,269.236,0.0,6.0576,269.2969,0.0,,,
LWPOLYLINE,TEJA ANDINA,,,,,,"[[6.2227, 269.5152], [6.0427, 269.5152], [6.0427, 269.2652], [6.2227, 269.2652]]",4.0,True,,,,,,,,,
LINE,TEJA ANDINA,,,,,,,,,6.2227,269.3902,0.0,6.2079,269.5469,0.0,,,
LINE,TEJA ANDINA,,,,,,,,,6.0427,269.3902,0.0,6.0576,269.5469,0.0,,,
LWPOLYLINE,TEJA ANDINA,,,,,,"[[6.2227, 269.7652], [6.0427, 269.7652], [6.0427, 269.5152], [6.2227, 269.5152]]",4.0,True,,,,,,,,,
LINE,TEJA ANDINA,,,,,,,,,6.2227,269.6402,0.0,6.2079,269.7969,0.0,,,
LINE,TEJA ANDINA,,,,,,,,,6.0427,269.6402,0.0,6.0576,269.7969,0.0,,,
LWPOLYLINE,TEJA ANDINA,,,,,,"[[6.2227, 270.0152], [6.0427, 270.0152], [6.0427, 269.7652], [6.2227, 269.7652]]",4.0,True,,,,,,,,,
LINE,TEJA ANDINA,,,,,,,,,6.2227,269.8902,0.0,6.2079,270.0469,0.0,,,
LINE,TEJA ANDINA,,,,,,,,,6.0427,269.8902,0.0,6.0576,270.0469,0.0,,,
LWPOLYLINE,TEJA ANDINA,,,,,,"[[6.4027, 269.2652], [6.2227, 269.2652], [6.2227, 269.1852], [6.4027, 269.1852]]",4.0,True,,,,,,,,,
LINE,TEJA ANDINA,,,,,,,,,6.4027,269.236,0.0,6.3879,269.2969,0.0,,,
LINE,TEJA ANDINA,,,,,,,,,6.2227,269.236,0.0,6.2376,269.2969,0.0,,,
LWPOLYLINE,TEJA ANDINA,,,,,,"[[6.4027, 269.5152], [6.2227, 269.5152], [6.2227, 269.2652], [6.4027, 269.2652]]",4.0,True,,,,,,,,,
LINE,TEJA ANDINA,,,,,,,,,6.4027,269.3902,0.0,6.3879,269.5469,0.0,,,
LINE,TEJA ANDINA,,,,,,,,,6.2227,269.3902,0.0,6.2376,269.5469,0.0,,,
LWPOLYLINE,TEJA ANDINA,,,,,,"[[6.4027, 269.7652], [6.2227, 269.7652], [6.2227, 269.5152], [6.4027, 269.5152]]",4.0,True,,,,,,,,,
LINE,TEJA ANDINA,,,,,,,,,6.4027,269.6402,0.0,6.3879,269.7969,0.0,,,
LINE,TEJA ANDINA,,,,,,,,,6.2227,269.6402,0.0,6.2376,269.7969,0.0,,,
LWPOLYLINE,TEJA ANDINA,,,,,,"[[6.4027, 270.0152], [6.2227, 270.0152], [6.2227, 269.7652], [6.4027, 269.7652]]",4.0,True,,,,,,,,,
LINE,TEJA ANDINA,,,,,,,,,6.4027,269.8902,0.0,6.3879,270.0469,0.0,,,
LINE,TEJA ANDINA,,,,,,,,,6.2227,269.8902,0.0,6.2376,270.0469,0.0,,,
LWPOLYLINE,TEJA ANDINA,,,,,,"[[6.5827, 269.2652], [6.4027, 269.2652], [6.4027, 269.1852], [6.5827, 269.1852]]",4.0,True,,,,,,,,,
LINE,TEJA ANDINA,,,,,,,,,6.5827,269.236,0.0,6.5679,269.2969,0.0,,,
LINE,TEJA ANDINA,,,,,,,,,6.4027,269.236,0.0,6.4176,269.2969,0.0,,,
LWPOLYLINE,TEJA ANDINA,,,,,,"[[6.5827, 269.5152], [6.4027, 269.5152], [6.4027, 269.2652], [6.5827, 269.2652]]",4.0,True,,,,,,,,,
LINE,TEJA ANDINA,,,,,,,,,6.5827,269.3902,0.0,6.5679,269.5469,0.0,,,
LINE,TEJA ANDINA,,,,,,,,,6.4027,269.3902,0.0,6.4176,269.5469,0.0,,,
LWPOLYLINE,TEJA ANDINA,,,,,,"[[6.5827, 269.7652], [6.4027, 269.7652], [6.4027, 269.5152], [6.5827, 269.5152]]",4.0,True,,,,,,,,,
LINE,TEJA ANDINA,,,,,,,,,6.5827,269.6402,0.0,6.5679,269.7969,0.0,,,
LINE,TEJA ANDINA,,,,,,,,,6.4027,269.6402,0.0,6.4176,269.7969,0.0,,,
LWPOLYLINE,TEJA ANDINA,,,,,,"[[6.5827, 270.0152], [6.4027, 270.0152], [6.4027, 269.7652], [6.5827, 269.7652]]",4.0,True,,,,,,,,,
LINE,TEJA ANDINA,,,,,,,,,6.5827,269.8902,0.0,6.5679,270.0469,0.0,,,
LINE,TEJA ANDINA,,,,,,,,,6.4027,269.8902,0.0,6.4176,270.0469,0.0,,,
LWPOLYLINE,TEJA ANDINA,,,,,,"[[6.7627, 269.2652], [6.5827, 269.2652], [6.5827, 269.1852], [6.7627, 269.1852]]",4.0,True,,,,,,,,,
LINE,TEJA ANDINA,,,,,,,,,6.7627,269.236,0.0,6.7479,269.2969,0.0,,,
LINE,TEJA ANDINA,,,,,,,,,6.5827,269.236,0.0,6.5976,269.2969,0.0,,,
LWPOLYLINE,TEJA ANDINA,,,,,,"[[6.7627, 269.5152], [6.5827, 269.5152], [6.5827, 269.2652], [6.7627, 269.2652]]",4.0,True,,,,,,,,,
LINE,TEJA ANDINA,,,,,,,,,6.7627,269.3902,0.0,6.7479,269.5469,0.0,,,
LINE,TEJA ANDINA,,,,,,,,,6.5827,269.3902,0.0,6.5976,269.5469,0.0,,,
LWPOLYLINE,TEJA ANDINA,,,,,,"[[6.7627, 269.7652], [6.5827, 269.7652], [6.5827, 269.5152], [6.7627, 269.5152]]",4.0,True,,,,,,,,,
LINE,TEJA ANDINA,,,,,,,,,6.7627,269.6402,0.0,6.7479,269.7969,0.0,,,
LINE,TEJA ANDINA,,,,,,,,,6.5827,269.6402,0.0,6.5976,269.7969,0.0,,,
LWPOLYLINE,TEJA ANDINA,,,,,,"[[6.7627, 270.0152], [6.5827, 270.0152], [6.5827, 269.7652], [6.7627, 269.7652]]",4.0,True,,,,,,,,,
LINE,TEJA ANDINA,,,,,,,,,6.7627,269.8902,0.0,6.7479,270.0469,0.0,,,
LINE,TEJA ANDINA,,,,,,,,,6.5827,269.8902,0.0,6.5976,270.0469,0.0,,,
LWPOLYLINE,TEJA ANDINA,,,,,,"[[6.9427, 269.2652], [6.7627, 269.2652], [6.7627, 269.1852], [6.9427, 269.1852]]",4.0,True,,,,,,,,,
LINE,TEJA ANDINA,,,,,,,,,6.9427,269.236,0.0,6.9279,269.2969,0.0,,,
LINE,TEJA ANDINA,,,,,,,,,6.7627,269.236,0.0,6.7776,269.2969,0.0,,,
LWPOLYLINE,TEJA ANDINA,,,,,,"[[6.9427, 269.5152], [6.7627, 269.5152], [6.7627, 269.2652], [6.9427, 269.2652]]",4.0,True,,,,,,,,,
LINE,TEJA ANDINA,,,,,,,,,6.9427,269.3902,0.0,6.9279,269.5469,0.0,,,
LINE,TEJA ANDINA,,,,,,,,,6.7627,269.3902,0.0,6.7776,269.5469,0.0,,,
LWPOLYLINE,TEJA ANDINA,,,,,,"[[6.9427, 269.7652], [6.7627, 269.7652], [6.7627, 269.5152], [6.9427, 269.5152]]",4.0,True,,,,,,,,,
LINE,TEJA ANDINA,,,,,,,,,6.9427,269.6402,0.0,6.9279,269.7969,0.0,,,
LINE,TEJA ANDINA,,,,,,,,,6.7627,269.6402,0.0,6.7776,269.7969,0.0,,,
LWPOLYLINE,TEJA ANDINA,,,,,,"[[6.9427, 270.0152], [6.7627, 270.0152], [6.7627, 269.7652], [6.9427, 269.7652]]",4.0,True,,,,,,,,,
LINE,TEJA ANDINA,,,,,,,,,6.9427,269.8902,0.0,6.9279,270.0469,0.0,,,
LINE,TEJA ANDINA,,,,,,,,,6.7627,269.8902,0.0,6.7776,270.0469,0.0,,,
LWPOLYLINE,TEJA ANDINA,,,,,,"[[7.1227, 269.2652], [6.9427, 269.2652], [6.9427, 269.1852], [7.1227, 269.1852]]",4.0,True,,,,,,,,,
LINE,TEJA ANDINA,,,,,,,,,7.1227,269.236,0.0,7.1079,269.2969,0.0,,,
LINE,TEJA ANDINA,,,,,,,,,6.9427,269.236,0.0,6.9576,269.2969,0.0,,,
LWPOLYLINE,TEJA ANDINA,,,,,,"[[7.1227, 269.5152], [6.9427, 269.5152], [6.9427, 269.2652], [7.1227, 269.2652]]",4.0,True,,,,,,,,,
LINE,TEJA ANDINA,,,,,,,,,7.1227,269.3902,0.0,7.1079,269.5469,0.0,,,
LINE,TEJA ANDINA,,,,,,,,,6.9427,269.3902,0.0,6.9576,269.5469,0.0,,,
LWPOLYLINE,TEJA ANDINA,,,,,,"[[7.1227, 269.7652], [6.9427, 269.7652], [6.9427, 269.5152], [7.1227, 269.5152]]",4.0,True,,,,,,,,,
LINE,TEJA ANDINA,,,,,,,,,7.1227,269.6402,0.0,7.1079,269.7969,0.0,,,
LINE,TEJA ANDINA,,,,,,,,,6.9427,269.6402,0.0,6.9576,269.7969,0.0,,,
LWPOLYLINE,TEJA ANDINA,,,,,,"[[7.1227, 270.0152], [6.9427, 270.0152], [6.9427, 269.7652], [7.1227, 269.7652]]",4.0,True,,,,,,,,,
LINE,TEJA ANDINA,,,,,,,,,7.1227,269.8902,0.0,7.1079,270.0469,0.0,,,
LINE,TEJA ANDINA,,,,,,,,,6.9427,269.8902,0.0,6.9576,270.0469,0.0,,,
LWPOLYLINE,TEJA ANDINA,,,,,,"[[7.3027, 269.2652], [7.1227, 269.2652], [7.1227, 269.1852], [7.3027, 269.1852]]",4.0,True,,,,,,,,,
LINE,TEJA ANDINA,,,,,,,,,7.3027,269.236,0.0,7.2879,269.2969,0.0,,,
LINE,TEJA ANDINA,,,,,,,,,7.1227,269.236,0.0,7.1376,269.2969,0.0,,,
